first_name;last_name;email;mobile;year_of_birth;certificate_id
Lukas;Müller;lukas.calmbach@bs.ch;0791742159;1990;2
Emma;Schmidt;lukas.calmbach@bs.ch;0791742159;1991;1
Mia;Schneider;lukas.calmbach@bs.ch;0791742159;1992;2
Leon;Fischer;lukas.calmbach@bs.ch;0791742159;1993;2
Ben;Weber;lukas.calmbach@bs.ch;0791742159;1994;1
Sophie;Meyer;lukas.calmbach@bs.ch;0791742159;1995;1
Paul;Wagner;lukas.calmbach@bs.ch;0791742159;1996;1
Lena;Becker;lukas.calmbach@bs.ch;0791742159;1997;1
Max;Schulz;lukas.calmbach@bs.ch;0791742159;1998;1
Marie;Hoffmann;lukas.calmbach@bs.ch;0791742159;1999;1
Jonas;Koch;lukas.calmbach@bs.ch;0791742159;2000;1
Anna;Bauer;lukas.calmbach@bs.ch;0791742159;2001;2
Felix;Richter;lukas.calmbach@bs.ch;0791742159;2002;2
Clara;Klein;lukas.calmbach@bs.ch;0791742159;2003;1
Luis;Wolf;lukas.calmbach@bs.ch;0791742159;2004;1
Ella;Schröder;lukas.calmbach@bs.ch;0791742159;2005;2
Julian;Neumann;lukas.calmbach@bs.ch;0791742159;2006;2
Nina;Schwarz;lukas.calmbach@bs.ch;0791742159;2007;1
Tim;Zimmermann;lukas.calmbach@bs.ch;0791742159;2008;1
Hannah;Krüger;lukas.calmbach@bs.ch;0791742159;2009;1
