Name;Vorname;email;Mobile;Geschlecht;verfuegbar_von;verfuegbar_bis;Mo_mo;Mo_na;Di_mo;Di_na;Mi_mo;Mi_na;Do_mo;Do_na;Fr_mo;Fr_na
Fischer;Mia;lcalmbach@gmail.com;+41791742159;M;2024-09-23;2024-12-09;0;0;0;1;0;1;0;0;1;0
Müller;Laura;lcalmbach@gmail.com;+41791742159;F;2024-05-16;2024-11-28;1;1;0;0;0;0;1;1;0;1
Schwarz;Lena;lcalmbach@gmail.com;+41791742159;F;2024-06-25;2024-09-20;0;1;0;1;1;0;1;1;1;1
Schwarz;Lena;lcalmbach@gmail.com;+41791742159;F;2024-05-26;2024-11-19;0;0;0;1;1;1;0;0;1;1
Schneider;Jonas;lcalmbach@gmail.com;+41791742159;M;2024-05-21;2024-09-07;1;1;1;1;0;0;1;0;0;1
Neumann;Lea;lcalmbach@gmail.com;+41791742159;M;2024-08-30;2024-12-11;0;1;1;1;0;0;0;0;1;1
Müller;Emma;lcalmbach@gmail.com;+41791742159;F;2024-07-05;2024-09-11;1;0;1;1;0;0;1;1;0;0
Bauer;Ben;lcalmbach@gmail.com;+41791742159;M;2024-01-30;2024-08-01;0;1;0;1;0;1;0;0;1;1
Weber;Hannah;lcalmbach@gmail.com;+41791742159;F;2024-01-29;2024-06-05;1;1;0;0;0;0;0;0;0;0
Schwarz;Lea;lcalmbach@gmail.com;+41791742159;F;2024-03-07;2024-06-08;0;1;1;0;1;1;0;0;0;1
Koch;Anna;lcalmbach@gmail.com;+41791742159;F;2024-10-17;2024-12-20;1;0;1;1;1;1;1;1;1;1
Schneider;Emma;lcalmbach@gmail.com;+41791742159;F;2024-08-22;2024-12-12;0;1;0;0;0;1;0;1;1;1
Fischer;Leon;lcalmbach@gmail.com;+41791742159;M;2024-04-06;2024-12-27;1;0;0;0;0;0;1;0;1;1
Hoffmann;Sophia;lcalmbach@gmail.com;+41791742159;F;2024-01-28;2024-07-25;0;1;0;0;1;0;1;1;0;1
Richter;Lina;lcalmbach@gmail.com;+41791742159;F;2024-07-13;2024-09-14;1;0;0;0;0;0;1;1;1;1
Wolf;Laura;lcalmbach@gmail.com;+41791742159;F;2024-09-23;2024-12-04;0;1;1;1;1;0;0;1;0;0
Bauer;Leon;lcalmbach@gmail.com;+41791742159;F;2024-10-05;2024-12-14;0;1;0;0;0;0;0;1;1;0
Schmidt;Lina;lcalmbach@gmail.com;+41791742159;M;2024-07-16;2024-09-27;0;0;1;0;0;1;0;0;0;1
Neumann;Max;lcalmbach@gmail.com;+41791742159;M;2024-01-07;2024-11-08;0;0;1;1;1;1;0;1;0;0
Hoffmann;Paul;lcalmbach@gmail.com;+41791742159;F;2024-05-04;2024-07-24;0;1;1;0;0;1;0;1;1;1
